nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
24,29,16,0.006209135,0.001431465,0.001648664,0.001235962
24,29,24,0.006209135,0.001486301,0.001677036,0.001235962
24,29,32,0.006209135,0.002060413,0.001716852,0.001235962
24,30,8,0.005744219,0.00160861,0.002177954,0.000930786
24,30,16,0.005744219,0.002281904,0.002142429,0.001235962
24,30,24,0.005744219,0.002151489,0.001926422,0.001235962
24,30,32,0.005744219,0.001743078,0.001838684,0.001235962
24,31,8,0.00598979,0.002430439,0.002367496,0.000930786
24,31,16,0.00598979,0.001946211,0.001897812,0.001235962
24,31,24,0.00598979,0.001907825,0.00181675,0.001235962
24,31,32,0.00598979,0.001830339,0.001891851,0.001235962
24,32,8,0.010429144,0.003154755,0.0035882,0.000930786
24,32,16,0.010429144,0.002991438,0.003038168,0.001235962
24,32,24,0.010429144,0.003364563,0.003957033,0.001235962
24,32,32,0.010429144,0.003774881,0.004099369,0.001235962
24,33,8,0.013413906,0.002075434,0.002037287,0.000930786
24,33,16,0.013413906,0.00283289,0.003541231,0.001235962
24,33,24,0.013413906,0.004708529,0.004644871,0.001235962
24,33,32,0.013413906,0.003054619,0.002019882,0.001235962
24,34,8,0.011357546,0.002398252,0.002774477,0.000930786
24,34,16,0.011357546,0.00368309,0.004425526,0.001235962
24,34,24,0.011357546,0.003500938,0.003483295,0.001235962
24,34,32,0.011357546,0.004208088,0.004654646,0.001235962
24,35,8,0.012996674,0.00465703,0.003529549,0.000930786
24,35,16,0.012996674,0.003857136,0.004806519,0.001235962
24,35,24,0.012996674,0.003950357,0.00330925,0.001235962
24,35,32,0.012996674,0.002366781,0.002560616,0.001235962
24,36,8,0.014048338,0.004703522,0.004548788,0.000930786
24,36,16,0.014048338,0.00302124,0.00295639,0.001235962
24,36,24,0.014048338,0.002737761,0.004008532,0.001235962
24,36,32,0.014048338,0.004270315,0.003461361,0.001235962
24,37,8,0.010202646,0.003315687,0.003236294,0.000930786
24,37,16,0.010202646,0.002668142,0.00343442,0.001235962
24,37,24,0.010202646,0.004825354,0.003671646,0.001235962
24,37,32,0.010202646,0.002776623,0.003468513,0.001235962
24,38,8,0.010474443,0.002570868,0.00295949,0.000930786
24,38,16,0.010474443,0.003782511,0.003129721,0.001235962
24,38,24,0.010474443,0.003612995,0.003487587,0.001235962
24,38,32,0.010474443,0.003219128,0.003724575,0.001235962
24,39,8,0.009368896,0.003946781,0.004104137,0.000930786
24,39,16,0.009368896,0.003628969,0.003310442,0.001235962
24,39,24,0.009368896,0.003477812,0.003855228,0.001235962
24,39,32,0.009368896,0.002993107,0.003047228,0.001235962
24,40,8,0.009855032,0.0029459,0.002997875,0.000930786
24,40,16,0.009855032,0.003609896,0.003526449,0.001235962
24,40,24,0.009855032,0.003688097,0.003212452,0.001235962
24,40,32,0.009855032,0.003026247,0.003100872,0.001235962
