_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
743,CT#743,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1984.0,Sep,2/9/1984,Thailand,Chiang Mai University,18.81,98.95,,,Suttheewan,Worker
744,CT#744,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Aug,10/8/2002,Thailand,Chiang Mai University,18.81,98.95,,,Nopphapadol,Worker
745,CT#745,ACMU,,Orientalibombus,Bombus haemorrhoidalis,,May,16-May,Thailand,Chiang Mai University,18.81,98.95,,,Orasa,Queen
746,CT#746,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Sep,9/9/2002,Thailand,,18.81,98.95,,,Jessada,Worker
747,CT#747,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Sep,16/9/2002,Thailand,Chiang Mai University,18.81,98.95,,,Ratchaya,Worker
748,CT#748,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1992.0,Jul,5/7/1992,Thailand,Chiang Mai University,18.81,98.95,,,Supinda,Queen
749,CT#749,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Jan,20/1/2002,Thailand,,19.73,99.14,,,Piyawan,Worker
750,CT#750,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2006.0,Sep,10/9/2006,Thailand,,18.81,98.95,,,Danai,Worker
751,CT#751,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2003.0,Sep,26/9/2003,Thailand,Wat Pha Lat,18.8,98.93,,,AungArt,Worker
752,CT#752,ACMU,,Orientalibombus,Bombus haemorrhoidalis,1965.0,Jul,25/7/1965,Thailand,,18.81,98.95,,,Onporn,Worker
753,CT#753,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2006.0,Jan,2/1/2006,Thailand,,18.94,98.62,,,Neungruthai,Worker
754,CT#754,ACMU,,Orientalibombus,Bombus haemorrhoidalis,2006.0,Jul,11/7/2006,Thailand,,18.93,98.88,,,Theerapong,Worker
